Time 1-10.1.2.2-10.1.1.2 Aggregate-Flow
8.240000 0.040179 0.040179
8.250000 0.040178 0.040178
8.260000 0.040163 0.040163
8.270000 0.040173 0.040173
8.280000 0.040177 0.040177
8.290000 0.040155 0.040155
8.300000 0.040165 0.040165
8.310000 0.040179 0.040179
8.320000 0.040195 0.040195
8.330000 0.040203 0.040203
8.340000 0.040196 0.040196
8.350000 0.040197 0.040197
8.360000 0.040197 0.040197
8.370000 0.040194 0.040194
8.380000 0.040197 0.040197
8.390000 0.040197 0.040197
8.400000 0.040196 0.040196
8.410000 0.040199 0.040199
8.420000 0.040196 0.040196
8.430000 0.040195 0.040195
8.440000 0.040195 0.040195
8.450000 0.040195 0.040195
8.460000 0.040197 0.040197
8.470000 0.040199 0.040199
8.480000 0.040196 0.040196
8.490000 0.040197 0.040197
8.500000 0.040197 0.040197
8.510000 0.040198 0.040198
8.520000 0.040195 0.040195
8.530000 0.040196 0.040196
8.540000 0.040196 0.040196
8.550000 0.040194 0.040194
8.560000 0.040195 0.040195
8.570000 0.040195 0.040195
8.580000 0.040196 0.040196
8.590000 0.040195 0.040195
8.600000 0.040198 0.040198
8.610000 0.040197 0.040197
8.620000 0.040195 0.040195
8.630000 0.040197 0.040197
8.640000 0.040198 0.040198
8.650000 0.040194 0.040194
8.660000 0.040194 0.040194
8.670000 0.040197 0.040197
8.680000 0.040195 0.040195
8.690000 0.040194 0.040194
8.700000 0.040196 0.040196
8.710000 0.040196 0.040196
8.720000 0.040195 0.040195
8.730000 0.040196 0.040196
8.740000 0.040196 0.040196
8.750000 0.040196 0.040196
8.760000 0.040196 0.040196
8.770000 0.040195 0.040195
8.780000 0.040195 0.040195
8.790000 0.040192 0.040192
8.800000 0.040194 0.040194
8.810000 0.040196 0.040196
8.820000 0.040196 0.040196
8.830000 0.040195 0.040195
8.840000 0.040194 0.040194
8.850000 0.040194 0.040194
8.860000 0.040195 0.040195
8.870000 0.040194 0.040194
8.880000 0.040197 0.040197
8.890000 0.040195 0.040195
8.900000 0.040195 0.040195
8.910000 0.040195 0.040195
8.920000 0.040193 0.040193
8.930000 0.040196 0.040196
8.940000 0.040192 0.040192
8.950000 0.040195 0.040195
8.960000 0.040194 0.040194
8.970000 0.040195 0.040195
8.980000 0.040192 0.040192
8.990000 0.040194 0.040194
9.000000 0.040195 0.040195
9.010000 0.040195 0.040195
9.020000 0.040193 0.040193
9.030000 0.040192 0.040192
9.040000 0.040196 0.040196
9.050000 0.040193 0.040193
9.060000 0.040197 0.040197
9.070000 0.040198 0.040198
9.080000 0.040198 0.040198
9.090000 0.040194 0.040194
9.100000 0.040195 0.040195
9.110000 0.040194 0.040194
9.120000 0.040193 0.040193
9.130000 0.040194 0.040194
9.140000 0.040194 0.040194
9.150000 0.040195 0.040195
9.160000 0.040198 0.040198
9.170000 0.040197 0.040197
9.180000 0.040196 0.040196
9.190000 0.040196 0.040196
9.200000 0.040193 0.040193
9.210000 0.040196 0.040196
9.220000 0.040196 0.040196
9.230000 0.040195 0.040195
9.240000 0.040193 0.040193
9.250000 0.040196 0.040196
9.260000 0.040194 0.040194
9.270000 0.040194 0.040194
9.280000 0.040195 0.040195
9.290000 0.040194 0.040194
9.300000 0.040195 0.040195
9.310000 0.040193 0.040193
9.320000 0.040193 0.040193
9.330000 0.040208 0.040208
9.340000 0.040209 0.040209
9.350000 0.040208 0.040208
9.360000 0.040207 0.040207
9.370000 0.040208 0.040208
9.380000 0.040204 0.040204
9.390000 0.040192 0.040192
9.400000 0.040194 0.040194
9.410000 0.040197 0.040197
9.420000 0.040196 0.040196
9.430000 0.040193 0.040193
9.440000 0.040193 0.040193
9.450000 0.040191 0.040191
9.460000 0.040193 0.040193
9.470000 0.040194 0.040194
9.480000 0.040192 0.040192
9.490000 0.040192 0.040192
9.500000 0.040194 0.040194
9.510000 0.040193 0.040193
9.520000 0.040192 0.040192
9.530000 0.040194 0.040194
9.540000 0.040194 0.040194
9.550000 0.040195 0.040195
9.560000 0.040194 0.040194
9.570000 0.040194 0.040194
9.580000 0.040195 0.040195
9.590000 0.040194 0.040194
9.600000 0.040195 0.040195
9.610000 0.040194 0.040194
9.620000 0.040193 0.040193
9.630000 0.040193 0.040193
9.640000 0.040192 0.040192
9.650000 0.040195 0.040195
9.660000 0.040194 0.040194
9.670000 0.040193 0.040193
9.680000 0.040193 0.040193
9.690000 0.040196 0.040196
9.700000 0.040195 0.040195
9.710000 0.040194 0.040194
9.720000 0.040196 0.040196
9.730000 0.040194 0.040194
9.740000 0.040190 0.040190
9.750000 0.040192 0.040192
9.760000 0.040192 0.040192
9.770000 0.040193 0.040193
9.780000 0.040194 0.040194
9.790000 0.040195 0.040195
9.800000 0.040194 0.040194
9.810000 0.040195 0.040195
9.820000 0.040194 0.040194
9.830000 0.040193 0.040193
9.840000 0.040191 0.040191
9.850000 0.040195 0.040195
9.860000 0.040193 0.040193
9.870000 0.040194 0.040194
9.880000 0.040194 0.040194
9.890000 0.040195 0.040195
9.900000 0.040192 0.040192
9.910000 0.040197 0.040197
9.920000 0.040191 0.040191
9.930000 0.040195 0.040195
9.940000 0.040195 0.040195
9.950000 0.040193 0.040193
9.960000 0.040196 0.040196
9.970000 0.040194 0.040194
9.980000 0.040194 0.040194
9.990000 0.040197 0.040197
10.000000 0.040195 0.040195
10.010000 0.040193 0.040193
10.020000 0.040193 0.040193
10.030000 0.040198 0.040198
10.040000 0.040195 0.040195
10.050000 0.040192 0.040192
10.060000 0.040193 0.040193
10.070000 0.040199 0.040199
10.080000 0.040194 0.040194
10.090000 0.040195 0.040195
10.100000 0.040194 0.040194
10.110000 0.040193 0.040193
10.120000 0.040191 0.040191
10.130000 0.040193 0.040193
10.140000 0.040192 0.040192
10.150000 0.040196 0.040196
10.160000 0.040195 0.040195
10.170000 0.040194 0.040194
10.180000 0.040197 0.040197
10.190000 0.040196 0.040196
10.200000 0.040194 0.040194
10.210000 0.040193 0.040193
10.220000 0.040197 0.040197
10.230000 0.040196 0.040196
10.240000 0.040195 0.040195
10.250000 0.040195 0.040195
10.260000 0.040195 0.040195
10.270000 0.040195 0.040195
10.280000 0.040193 0.040193
10.290000 0.040194 0.040194
10.300000 0.040195 0.040195
10.310000 0.040194 0.040194
10.320000 0.040210 0.040210
10.330000 0.040207 0.040207
10.340000 0.040207 0.040207
10.350000 0.040209 0.040209
10.360000 0.040205 0.040205
10.370000 0.040208 0.040208
10.380000 0.040204 0.040204
10.390000 0.040204 0.040204
10.400000 0.040207 0.040207
10.410000 0.040195 0.040195
10.420000 0.040193 0.040193
10.430000 0.040199 0.040199
10.440000 0.040194 0.040194
10.450000 0.040194 0.040194
10.460000 0.040195 0.040195
10.470000 0.040196 0.040196
10.480000 0.040194 0.040194
10.490000 0.040195 0.040195
10.500000 0.040194 0.040194
10.510000 0.040197 0.040197
10.520000 0.040194 0.040194
10.530000 0.040194 0.040194
10.540000 0.040192 0.040192
10.550000 0.040193 0.040193
10.560000 0.040194 0.040194
10.570000 0.040195 0.040195
10.580000 0.040194 0.040194
10.590000 0.040196 0.040196
10.600000 0.040192 0.040192
10.610000 0.040196 0.040196
10.620000 0.040194 0.040194
10.630000 0.040195 0.040195
10.640000 0.040195 0.040195
10.650000 0.040194 0.040194
10.660000 0.040196 0.040196
10.670000 0.040195 0.040195
10.680000 0.040195 0.040195
10.690000 0.040195 0.040195
10.700000 0.040197 0.040197
10.710000 0.040196 0.040196
10.720000 0.040195 0.040195
10.730000 0.040192 0.040192
10.740000 0.040196 0.040196
10.750000 0.040195 0.040195
10.760000 0.040195 0.040195
10.770000 0.040196 0.040196
10.780000 0.040198 0.040198
10.790000 0.040195 0.040195
10.800000 0.040195 0.040195
10.810000 0.040193 0.040193
10.820000 0.040193 0.040193
10.830000 0.040196 0.040196
10.840000 0.040194 0.040194
10.850000 0.040192 0.040192
10.860000 0.040197 0.040197
10.870000 0.040195 0.040195
10.880000 0.040195 0.040195
10.890000 0.040193 0.040193
10.900000 0.040195 0.040195
10.910000 0.040195 0.040195
10.920000 0.040196 0.040196
10.930000 0.040194 0.040194
10.940000 0.040195 0.040195
10.950000 0.040195 0.040195
10.960000 0.040196 0.040196
10.970000 0.040195 0.040195
10.980000 0.040198 0.040198
10.990000 0.040195 0.040195
11.000000 0.040193 0.040193
11.010000 0.040196 0.040196
11.020000 0.040195 0.040195
11.030000 0.040197 0.040197
11.040000 0.040196 0.040196
11.050000 0.040195 0.040195
11.060000 0.040195 0.040195
11.070000 0.040195 0.040195
11.080000 0.040191 0.040191
11.090000 0.040193 0.040193
11.100000 0.040170 0.040170
11.110000 0.040164 0.040164
11.120000 0.040169 0.040169
11.130000 0.040169 0.040169
11.140000 0.040167 0.040167
11.150000 0.040167 0.040167
11.160000 0.040168 0.040168
11.170000 0.040170 0.040170
11.180000 0.040168 0.040168
11.190000 0.040167 0.040167
11.200000 0.040167 0.040167
11.210000 0.040169 0.040169
11.220000 0.040165 0.040165
11.230000 0.040166 0.040166
11.240000 0.040194 0.040194
11.250000 0.040193 0.040193
11.260000 0.040197 0.040197
11.270000 0.040196 0.040196
11.280000 0.040194 0.040194
11.290000 0.040194 0.040194
11.300000 0.040197 0.040197
11.310000 0.040196 0.040196
11.320000 0.040193 0.040193
11.330000 0.040194 0.040194
11.340000 0.040190 0.040190
11.350000 0.040197 0.040197
11.360000 0.040195 0.040195
11.370000 0.040195 0.040195
11.380000 0.040196 0.040196
11.390000 0.040192 0.040192
11.400000 0.040196 0.040196
11.410000 0.040197 0.040197
11.420000 0.040196 0.040196
11.430000 0.040194 0.040194
11.440000 0.040195 0.040195
11.450000 0.040195 0.040195
11.460000 0.040193 0.040193
11.470000 0.040197 0.040197
11.480000 0.040191 0.040191
11.490000 0.040194 0.040194
11.500000 0.040193 0.040193
11.510000 0.040199 0.040199
11.520000 0.040195 0.040195
11.530000 0.040196 0.040196
11.540000 0.040195 0.040195
11.550000 0.040197 0.040197
11.560000 0.040192 0.040192
11.570000 0.040193 0.040193
11.580000 0.040197 0.040197
11.590000 0.040193 0.040193
11.600000 0.040196 0.040196
11.610000 0.040196 0.040196
11.620000 0.040193 0.040193
11.630000 0.040193 0.040193
11.640000 0.040198 0.040198
11.650000 0.040197 0.040197
11.660000 0.040194 0.040194
11.670000 0.040198 0.040198
11.680000 0.040197 0.040197
11.690000 0.040196 0.040196
11.700000 0.040195 0.040195
11.710000 0.040194 0.040194
11.720000 0.040198 0.040198
11.730000 0.040196 0.040196
11.740000 0.040192 0.040192
11.750000 0.040198 0.040198
11.760000 0.040193 0.040193
11.770000 0.040195 0.040195
11.780000 0.040194 0.040194
11.790000 0.040195 0.040195
11.800000 0.040196 0.040196
11.810000 0.040194 0.040194
11.820000 0.040196 0.040196
11.830000 0.040196 0.040196
11.840000 0.040191 0.040191
11.850000 0.040197 0.040197
11.860000 0.040194 0.040194
11.870000 0.040194 0.040194
11.880000 0.040195 0.040195
11.890000 0.040197 0.040197
11.900000 0.040197 0.040197
11.910000 0.040197 0.040197
11.920000 0.040200 0.040200
11.930000 0.040195 0.040195
11.940000 0.040195 0.040195
11.950000 0.040196 0.040196
11.960000 0.040195 0.040195
11.970000 0.040195 0.040195
11.980000 0.040196 0.040196
11.990000 0.040195 0.040195
12.000000 0.040194 0.040194
12.010000 0.040197 0.040197
12.020000 0.040192 0.040192
12.030000 0.040194 0.040194
12.040000 0.040196 0.040196
12.050000 0.040193 0.040193
12.060000 0.040195 0.040195
12.070000 0.040192 0.040192
12.080000 0.040196 0.040196
12.090000 0.040194 0.040194
12.100000 0.040196 0.040196
12.110000 0.040193 0.040193
12.120000 0.040197 0.040197
12.130000 0.040194 0.040194
12.140000 0.040197 0.040197
12.150000 0.040195 0.040195
12.160000 0.040195 0.040195
12.170000 0.040194 0.040194
12.180000 0.040193 0.040193
12.190000 0.040196 0.040196
12.200000 0.040193 0.040193
12.210000 0.040195 0.040195
12.220000 0.040197 0.040197
12.230000 0.040197 0.040197
12.240000 0.040199 0.040199
12.250000 0.040197 0.040197
12.260000 0.040197 0.040197
12.270000 0.040196 0.040196
12.280000 0.040195 0.040195
12.290000 0.040196 0.040196
12.300000 0.040197 0.040197
12.310000 0.040195 0.040195
12.320000 0.040195 0.040195
12.330000 0.040197 0.040197
12.340000 0.040192 0.040192
12.350000 0.040194 0.040194
12.360000 0.040207 0.040207
12.370000 0.040211 0.040211
12.380000 0.040207 0.040207
12.390000 0.040197 0.040197
12.400000 0.040196 0.040196
12.410000 0.040196 0.040196
12.420000 0.040196 0.040196
12.430000 0.040197 0.040197
12.440000 0.040193 0.040193
12.450000 0.040197 0.040197
12.460000 0.040195 0.040195
12.470000 0.040196 0.040196
12.480000 0.040196 0.040196
12.490000 0.040195 0.040195
12.500000 0.040196 0.040196
12.510000 0.040196 0.040196
12.520000 0.040195 0.040195
12.530000 0.040196 0.040196
12.540000 0.040193 0.040193
12.550000 0.040196 0.040196
12.560000 0.040194 0.040194
12.570000 0.040194 0.040194
12.580000 0.040195 0.040195
12.590000 0.040196 0.040196
12.600000 0.040196 0.040196
12.610000 0.040195 0.040195
12.620000 0.040195 0.040195
12.630000 0.040194 0.040194
12.640000 0.040198 0.040198
